frequency,amplitude
838.48,0.001369
840.23,0.000708
841.99,0.000619
843.75,0.000905
845.51,0.000363
847.27,0.000745
849.02,0.000727
850.78,0.000444
852.54,0.001047
854.3,0.001137
856.05,0.000011
857.81,0.000414
859.57,0.001113
861.33,0.001139
863.09,0.000926
864.84,0.000578
866.6,0.000836
868.36,0.00077
870.12,0.000552
871.87,0.001234
873.63,0.001469
875.39,0.001401
877.15,0.001798
878.91,0.001292
880.66,0.001131
882.42,0.000291
884.18,0.000849
885.94,0.000912
887.7,0.000671
889.45,0.000819
891.21,0.001017
892.97,0.000952
894.73,0.000306
896.48,0.00039
898.24,0.000267
900,0.001063
901.76,0.001379
903.52,0.00075
905.27,0.000686
907.03,0.000354
908.79,0.000448
910.55,0.000647
912.3,0.000239
914.06,0.000206
915.82,0.000974
917.58,0.001007
919.34,0.000609
921.09,0.000519
922.85,0.000497
924.61,0.000094
926.37,0.000573
928.12,0.001205
929.88,0.000841
931.64,0.000433
933.4,0.000245
935.16,0.000945
936.91,0.000939
938.67,0.001287
940.43,0.000541
942.19,0.000428
943.95,0.00061
945.7,0.000773
947.46,0.000597
949.22,0.000492
950.98,0.000842
952.73,0.000752
954.49,0.000748
956.25,0.000281
958.01,0.000545
959.77,0.000873
961.52,0.000807
963.28,0.00108
965.04,0.001432
966.8,0.000966
968.55,0.000622
970.31,0.000453
972.07,0.000729
973.83,0.000486
975.59,0.000499
977.34,0.000836
979.1,0.001035
980.86,0.000929
982.62,0.001109
984.37,0.001054
986.13,0.000531
987.89,0.000837
989.65,0.000798
991.41,0.000485
993.16,0.000698
994.92,0.000704
996.68,0.000838
998.44,0.00127
1000.2,0.000346
1001.95,0.000148
1003.71,0.000427
1005.47,0.000725
1007.23,0.000204
1008.98,0.000214
1010.74,0.000618
1012.5,0.001199
1014.26,0.000459
1016.02,0.000282
1017.77,0.000339
1019.53,0.000481
1021.29,0.000783
1023.05,0.000793
1024.8,0.000532
1026.56,0.000742
1028.32,0.000511
1030.08,0.000561
1031.84,0.001254
1033.59,0.00095
1035.35,0.00048
1037.11,0.000793
1038.87,0.000407
1040.63,0.000162
1042.38,0.000694
1044.14,0.00099
1045.9,0.001358
1047.66,0.000455
1049.41,0.000266
1051.17,0.00014
1052.93,0.000517
1054.69,0.000716
1056.45,0.000188
1058.2,0.000205
1059.96,0.000457
1061.72,0.000966
1063.48,0.000024
1065.23,0.001171
1066.99,0.001154
1068.75,0.0005
1070.51,0.001754
1072.27,0.001499
1074.02,0.000194
1075.78,0.00025
1077.54,0.000578
1079.3,0.000154
1081.05,0.000578
1082.81,0.000748
1084.57,0.000885
1086.33,0.000674
1088.09,0.000519
1089.84,0.001102
1091.6,0.000925
1093.36,0.000171
1095.12,0.000132
1096.88,0.001253
1098.63,0.001061
1100.39,0.00071
1102.15,0.001308
1103.91,0.0007
1105.66,0.000755
1107.42,0.000411
1109.18,0.000135
1110.94,0.000243
1112.7,0.000384
1114.45,0.000803
1116.21,0.00094
1117.97,0.00053
1119.73,0.000838
1121.48,0.000664
1123.24,0.00006
1125,0.000591
1126.76,0.000386
1128.52,0.000261
1130.27,0.000245
1132.03,0.000123
1133.79,0.000444
1135.55,0.000281
1137.3,0.000469
1139.06,0.000686
1140.82,0.000441
1142.58,0.000177
1144.34,0.000501
1146.09,0.000789
1147.85,0.000447
1149.61,0.000757
1151.37,0.000157
1153.13,0.000786
1154.88,0.000463
1156.64,0.001255
1158.4,0.001478
1160.16,0.000193
1161.91,0.000804
1163.67,0.001492
1165.43,0.000272
1167.19,0.0002
1168.95,0.000307
1170.7,0.000758
1172.46,0.000448
1174.22,0.000488
1175.98,0.000168
1177.73,0.000579
1179.49,0.00129
1181.25,0.000599
1183.01,0.000685
1184.77,0.000529
1186.52,0.000837
1188.28,0.001496
1190.04,0.001266
1191.8,0.000392
1193.55,0.000611
1195.31,0.00015
1197.07,0.000794
1198.83,0.000845
1200.59,0.000878
1202.34,0.000923
1204.1,0.000737
1205.86,0.000593
1207.62,0.000421
1209.38,0.000653
1211.13,0.000507
1212.89,0.00033
1214.65,0.000572
1216.41,0.000958
1218.16,0.001083
1219.92,0.000708
1221.68,0.000369
1223.44,0.000513
1225.2,0.000087
1226.95,0.000185
1228.71,0.000456
1230.47,0.000444
1232.23,0.00092
1233.98,0.000572
1235.74,0.000593
1237.5,0.000669
1239.26,0.000635
1241.02,0.000525
1242.77,0.000757
1244.53,0.000336
1246.29,0.000457
1248.05,0.000574
1249.8,0.000458
1251.56,0.000315
1253.32,0.000566
1255.08,0.000727
1256.84,0.000477
1258.59,0.000134
1260.35,0.000501
1262.11,0.000598
1263.87,0.000069
1265.63,0.000154
1267.38,0.000217
1269.14,0.000125
1270.9,0.000543
1272.66,0.001021
1274.41,0.000932
1276.17,0.001
1277.93,0.000439
1279.69,0.000195
1281.45,0.000613
1283.2,0.000672
1284.96,0.000293
1286.72,0.000208
1288.48,0.000147
1290.23,0.000367
1291.99,0.000559
1293.75,0.00057
1295.51,0.000212
1297.27,0.000567
1299.02,0.000111
1300.78,0.000367
1302.54,0.00027
1304.3,0.000303
1306.05,0.000253
1307.81,0.00048
1309.57,0.000604
1311.33,0.000312
1313.09,0.000299
1314.84,0.00063
1316.6,0.000559
1318.36,0.000416
1320.12,0.000357
1321.88,0.00037
1323.63,0.000298
1325.39,0.000221
1327.15,0.000061
1328.91,0.000163
1330.66,0.000068
1332.42,0.000452
1334.18,0.000556
1335.94,0.00052
1337.7,0.000483
1339.45,0.000419
1341.21,0.000513
1342.97,0.000108
1344.73,0.000486
1346.48,0.000368
1348.24,0.000109
1350,0.00016
1351.76,0.00025
1353.52,0.000328
1355.27,0.000095
1357.03,0.00038
1358.79,0.000497
1360.55,0.000483
1362.3,0.000598
1364.06,0.000496
1365.82,0.000598
1367.58,0.000628
1369.34,0.000529
1371.09,0.000504
1372.85,0.000164
1374.61,0.000246
1376.37,0.000267
1378.13,0.0006
1379.88,0.000359
1381.64,0.000527
1383.4,0.000228
1385.16,0.000299
1386.91,0.000292
1388.67,0.000254
1390.43,0.000235
1392.19,0.000611
1393.95,0.000406
1395.7,0.000304
1397.46,0.000207
1399.22,0.000257
1400.98,0.000193
1402.73,0.000132
1404.49,0.000388
1406.25,0.000724
1408.01,0.000406
1409.77,0.000275
1411.52,0.000498
1413.28,0.000632
1415.04,0.000452
1416.8,0.000548
1418.55,0.000608
1420.31,0.000458
1422.07,0.000288
1423.83,0.000401
1425.59,0.000388
1427.34,0.000633
1429.1,0.00031
1430.86,0.00015
1432.62,0.000456
1434.38,0.000507
1436.13,0.000291
1437.89,0.000213
1439.65,0.000368
1441.41,0.000392
1443.16,0.000745
1444.92,0.000167
1446.68,0.000443
1448.44,0.000195
1450.2,0.000319
1451.95,0.000307
1453.71,0.000289
1455.47,0.000669
1457.23,0.0008
1458.98,0.000583
1460.74,0.000499
1462.5,0.000579
1464.26,0.000388
1466.02,0.00053
1467.77,0.000564
1469.53,0.000884
1471.29,0.000878
1473.05,0.000434
1474.8,0.000223
1476.56,0.000699
1478.32,0.0004
1480.08,0.000414
1481.84,0.000414
1483.59,0.000639
1485.35,0.000826
1487.11,0.000252
1488.87,0.000268
1490.63,0.000365
1492.38,0.000902
1494.14,0.000592
1495.9,0.000566
1497.66,0.000644
1499.41,0.000634
1501.17,0.00058
1502.93,0.000458
1504.69,0.000411
1506.45,0.000512
1508.2,0.000441
1509.96,0.000045
1511.72,0.000196
1513.48,0.000206
1515.23,0.000751
1516.99,0.000314
1518.75,0.000117
1520.51,0.000732
